caldt,vwretd,vwretx,totval
19731130,-0.117712,-0.122874,705565646.00
19731231,0.013009,0.011036,714669712.00
19740131,0.002225,0.000597,714802250.00
19740228,0.003327,-0.001747,713046956.00
19740329,-0.023479,-0.025354,695056966.00
19740430,-0.044435,-0.046194,662743536.00
19740531,-0.038395,-0.044033,634129105.00
19740628,-0.019682,-0.022098,619756710.00
19740731,-0.069973,-0.071795,575377492.00
19740830,-0.086152,-0.093279,521415702.00
19740930,-0.110300,-0.112784,462810303.00
19741031,0.165042,0.161864,537807365.00
19741129,-0.042237,-0.049735,513282059.00
19741231,-0.025094,-0.028297,500677668.00
19750131,0.139259,0.137296,569929512.00
19750228,0.059390,0.052274,601275307.00
19750331,0.029235,0.026562,623126148.00
19750430,0.047302,0.045232,652949552.00
19750530,0.054772,0.048930,686378005.00
19750630,0.051444,0.048961,719777057.00
19750731,-0.062329,-0.064276,673987915.00
19750829,-0.021256,-0.026891,655893360.00
19750930,-0.036230,-0.038668,630757454.00
19751031,0.057688,0.055085,665301988.00
19751128,0.031639,0.026001,684353419.00
19751231,-0.010952,-0.013549,675845608.00
19760130,0.126536,0.124900,760251966.00
19760227,0.003960,-0.001462,761884773.00
19760331,0.028791,0.026390,782228693.00
19760430,-0.010972,-0.012204,774170250.00
19760528,-0.008434,-0.014666,764026018.00
19760630,0.046181,0.043858,802062633.00
19760730,-0.007802,-0.009222,794837125.00
19760831,-0.000125,-0.006358,786387496.00
19760930,0.025060,0.022981,811728965.00
19761029,-0.021563,-0.023446,793108904.00
19761130,0.004748,-0.002311,794872783.00
19761231,0.060069,0.057850,843333548.00
19770131,-0.037565,-0.039228,810649122.00
19770228,-0.016613,-0.022886,792437679.00
19770331,-0.010025,-0.012539,784997445.00
19770429,0.003875,0.002519,788694609.00
19770531,-0.012090,-0.019659,777067718.00
19770630,0.052003,0.049370,818527284.00
19770729,-0.014925,-0.016259,806099962.00
19770831,-0.014527,-0.021769,789490748.00
19770930,0.000744,-0.001814,789743701.00
19771031,-0.039890,-0.041951,756446199.00
19771130,0.044013,0.035275,784838469.00
19771230,0.006926,0.004255,790592175.00
19780131,-0.056901,-0.058941,742025614.00
19780228,-0.011251,-0.019015,728129420.00
19780331,0.032552,0.029427,749799485.00
19780428,0.082624,0.080972,809361082.00
19780531,0.020780,0.012630,818777588.00
19780630,-0.012354,-0.015339,808642169.00
19780731,0.057406,0.055497,853247168.00
19780831,0.039302,0.032069,880635138.00
19780929,-0.006272,-0.008832,875226981.00
19781031,-0.105972,-0.108669,780293774.00
19781130,0.033653,0.025234,801161210.00
19781229,0.016467,0.013396,816596237.00
19790131,0.047688,0.045095,851954394.00
19790228,-0.027342,-0.034693,821287962.00
19790330,0.064432,0.061308,871850648.00
19790430,0.007653,0.005530,876362703.00
19790531,-0.013632,-0.021957,857918364.00
19790629,0.046060,0.043046,896356038.00
19790731,0.014027,0.011732,905442894.00
19790831,0.064441,0.056631,958381976.00
19790928,0.001468,-0.000882,958464514.00
19791031,-0.070603,-0.073516,887438390.00
19791130,0.063238,0.055055,939737701.00
19791231,0.025885,0.022904,969058267.00
19800131,0.065056,0.062661,1025979420.00
19800229,0.002895,-0.004216,1020652340.00
19800331,-0.115915,-0.118943,899634045.00
19800430,0.050629,0.048115,946050852.00
19800530,0.058664,0.050853,997117136.00
19800630,0.036358,0.033091,1032438340.00
19800731,0.068274,0.065812,1105172320.00
19800829,0.020266,0.013666,1124088310.00
19800930,0.028184,0.025270,1157874360.00
19801031,0.018834,0.015984,1175809710.00
19801128,0.106722,0.100445,1298781360.00
19801231,-0.034964,-0.037574,1259544880.00
19810130,-0.041811,-0.043606,1204720590.00
19810227,0.016788,0.010021,1217313450.00
19810331,0.044253,0.041118,1266169010.00
19810430,-0.016008,-0.017848,1243969580.00
19810529,0.011227,0.004677,1252842080.00
19810630,-0.007614,-0.010822,1241116720.00
19810731,-0.001210,-0.003016,1239281940.00
19810831,-0.054551,-0.061740,1164393220.00
19810930,-0.062161,-0.065162,1086706750.00
19811030,0.057516,0.054161,1137696230.00
19811130,0.047215,0.040153,1189095750.00
19811231,-0.028445,-0.031456,1157485220.00
19820129,-0.025098,-0.026874,1125048930.00
19820226,-0.051845,-0.059889,1057451230.00
19820331,-0.009213,-0.013272,1034512790.00
19820430,0.041915,0.040022,1074456480.00
19820528,-0.027715,-0.036696,1034664420.00
19820630,-0.022524,-0.026057,1010867780.00
19820730,-0.020421,-0.022740,977700220.00
19820831,0.124878,0.115176,1099164260.00
19820930,0.012464,0.009334,1110062740.00
19821029,0.116434,0.113577,1236761130.00
19821130,0.047211,0.039790,1285408990.00
19821231,0.016045,0.013541,1311245130.00
19830131,0.038151,0.035933,1355056530.00
19830228,0.027853,0.021353,1381449760.00
19830331,0.033821,0.030656,1426157230.00
19830429,0.073238,0.071813,1529734310.00
19830531,0.007196,0.001443,1537302720.00
19830630,0.038831,0.035639,1605293370.00
19830729,-0.029855,-0.031241,1558420180.00
19830831,0.010030,0.004218,1566204000.00
19830930,0.016670,0.013526,1595996700.00
19831031,-0.021274,-0.023122,1561182080.00
19831130,0.027503,0.021649,1598318380.00
19831230,-0.008413,-0.011583,1588204530.00
19840131,-0.009735,-0.011757,1572317700.00
19840229,-0.036570,-0.041893,1496241720.00
19840330,0.016076,0.012479,1513207130.00
19840430,0.004853,0.003010,1517033270.00
19840531,-0.051618,-0.057480,1431593220.00
19840629,0.022454,0.018303,1441917070.00
19840731,-0.017592,-0.019667,1412295410.00
19840831,0.112943,0.106560,1560832840.00
19840928,0.001943,-0.001188,1557547770.00
19841031,0.001586,-0.001524,1551577590.00
19841130,-0.009921,-0.014851,1520074280.00
19841231,0.024076,0.020372,1549627450.00
19850131,0.080238,0.077875,1666029330.00
19850228,0.016390,0.011359,1683010040.00
19850329,0.000015,-0.003357,1676421740.00
19850430,-0.003104,-0.005002,1672009940.00
19850531,0.058606,0.053177,1755541430.00
19850628,0.016526,0.013296,1761617750.00
19850731,-0.002848,-0.004990,1755914390.00
19850830,-0.004197,-0.009409,1739036900.00
19850930,-0.037220,-0.040149,1658981430.00
19851031,0.043998,0.041348,1728729560.00
19851129,0.068511,0.063574,1825237290.00
19851231,0.044166,0.041033,1912680550.00
19860131,0.006690,0.004697,1918790150.00
19860228,0.072722,0.067976,2047627200.00
19860331,0.055369,0.052691,2153702000.00
19860430,-0.012947,-0.014828,2110306550.00
19860530,0.051536,0.047436,2210281080.00
19860630,0.014631,0.011783,2237181360.00
19860731,-0.055721,-0.057683,2113105880.00
19860829,0.072235,0.068111,2258864730.00
19860930,-0.078389,-0.080806,2076123460.00
19861031,0.052527,0.049792,2174369720.00
19861128,0.017962,0.013281,2204070710.00
19861231,-0.025921,-0.028763,2134074070.00
19870130,0.129163,0.127447,2412222540.00
19870227,0.042048,0.038302,2505168290.00
19870331,0.025250,0.022632,2571823900.00
19870430,-0.015263,-0.017380,2532119060.00
19870529,0.006390,0.002826,2545914920.00
19870630,0.047519,0.044835,2664527230.00
19870731,0.047000,0.044907,2784330650.00
19870831,0.035709,0.032139,2873511110.00
19870930,-0.020634,-0.022841,2819329990.00
19871030,-0.218138,-0.220347,2195777700.00
19871130,-0.074974,-0.079513,2018204280.00
19871231,0.068263,0.065008,2153939130.00
19880129,0.045207,0.043272,2243518710.00
19880229,0.049575,0.043323,2342493140.00
19880331,-0.022371,-0.025176,2282875590.00
19880429,0.010658,0.008683,2305119020.00
19880531,0.003734,-0.000942,2299988510.00
19880630,0.048911,0.046038,2389178880.00
19880729,-0.006013,-0.008704,2373386150.00
19880831,-0.028502,-0.033187,2289718110.00
19880930,0.038000,0.035256,2370968230.00
19881031,0.022346,0.018825,2414021440.00
19881130,-0.014753,-0.019879,2369322690.00
19881230,0.019823,0.016193,2379421060.00
19890131,0.067449,0.064384,2522148920.00
19890228,-0.018393,-0.022380,2465254260.00
19890331,0.021484,0.018521,2513519150.00
19890428,0.047605,0.045510,2627658210.00
19890531,0.038510,0.033371,2691987860.00
19890630,-0.002279,-0.004960,2669414820.00
19890731,0.082010,0.079576,2868552310.00
19890831,0.020087,0.015924,2919030450.00
19890929,-0.002959,-0.005607,2904212550.00
19891031,-0.028351,-0.030562,2819812960.00
19891130,0.019860,0.016130,2860913530.00
19891229,0.021159,0.018259,2922735630.00
19900131,-0.067903,-0.069876,2705328160.00
19900228,0.013422,0.009195,2733135360.00
19900330,0.023529,0.020892,2796635380.00
19900430,-0.027517,-0.029979,2713289030.00
19900531,0.088368,0.083751,2941665030.00
19900629,-0.005752,-0.008434,2915185900.00
19900731,-0.004100,-0.006402,2898052810.00
19900831,-0.087439,-0.091513,2626256830.00
19900928,-0.048991,-0.051346,2491571590.00
19901031,-0.009403,-0.012114,2460907880.00
19901130,0.062802,0.058256,2603071610.00
19901231,0.028137,0.024747,2670252600.00
19910131,0.042100,0.039850,2772690810.00
19910228,0.073118,0.068833,2968133170.00
19910328,0.024368,0.022054,3044499540.00
19910430,0.002927,0.000624,3054118760.00
19910531,0.039970,0.036152,3168897640.00
19910628,-0.042065,-0.044447,3048229640.00
19910731,0.045294,0.043357,3185642160.00
19910830,0.024044,0.020252,3252428850.00
19910930,-0.012996,-0.015254,3222548530.00
19911031,0.015718,0.013979,3275130370.00
19911129,-0.037897,-0.041459,3146703900.00
19911231,0.105067,0.102219,3487204460.00
19920131,-0.010140,-0.011619,3441818420.00
19920228,0.011907,0.008551,3477614170.00
19920331,-0.020058,-0.022553,3435653990.00
19920430,0.022331,0.020629,3501928160.00
19920529,0.005608,0.002217,3507436220.00
19920630,-0.016367,-0.018987,3473872220.00
19920731,0.040667,0.038998,3611330550.00
19920831,-0.019388,-0.022823,3533087010.00
19920930,0.009042,0.006693,3570969830.00
19921030,0.006841,0.005274,3594784270.00
19921130,0.034339,0.030800,3710390720.00
19921231,0.014755,0.012337,3780034480.00
19930129,0.009836,0.008375,3817663160.00
19930226,0.012268,0.009233,3861667020.00
19930331,0.024504,0.021830,3974405750.00
19930430,-0.022849,-0.024305,3884290780.00
19930528,0.024897,0.021569,3974242660.00
19930630,0.005215,0.002794,4031994250.00
19930730,-0.000988,-0.002476,4027239680.00
19930831,0.037355,0.034104,4171317860.00
19930930,-0.004156,-0.006361,4164815880.00
19931029,0.017292,0.015805,4236402560.00
19931130,-0.015043,-0.018251,4176444600.00
19931231,0.018106,0.015872,4276866700.00
19940131,0.031506,0.029937,4410781580.00
19940228,-0.026671,-0.029542,4290377150.00
19940331,-0.042953,-0.045295,4103935760.00
19940429,0.013984,0.012344,4153047790.00
19940531,0.010776,0.007416,4193733020.00
19940630,-0.025783,-0.028211,4094745650.00
19940729,0.032166,0.030626,4222199830.00
19940831,0.039284,0.036030,4374707140.00
19940930,-0.021457,-0.023698,4291620880.00
19941031,0.014100,0.012381,4335556040.00
19941130,-0.037773,-0.040895,4156337270.00
19941230,0.014562,0.011864,4211855190.00
19950131,0.023269,0.021453,4302954760.00
19950228,0.037293,0.034416,4460290550.00
19950331,0.026577,0.024171,4575709320.00
19950428,0.023748,0.022110,4673372900.00
19950531,0.035589,0.032446,4823883630.00
19950630,0.021825,0.019671,4924811210.00
19950731,0.034511,0.032388,5076681820.00
19950831,0.007211,0.004341,5109182900.00
19950929,0.039150,0.037199,5304660010.00
19951031,-0.011998,-0.013533,5255269570.00
19951130,0.047174,0.044335,5515357670.00
19951229,0.019671,0.017613,5615870220.00
19960131,0.032694,0.031171,5797267030.00
19960229,0.011985,0.009566,5866384740.00
19960329,0.012698,0.010770,5940289090.00
19960430,0.013608,0.012179,6036129340.00
19960531,0.022759,0.020125,6191142120.00
19960628,0.000456,-0.001301,6196754930.00
19960731,-0.045718,-0.047394,5909643940.00
19960830,0.027471,0.025084,6072656860.00
19960930,0.048016,0.046071,6359205330.00
19961031,0.019453,0.017853,6468385320.00
19961129,0.066662,0.064357,6898077690.00
19961231,-0.013647,-0.015549,6805083800.00
19970131,0.049286,0.048053,7149549460.00
19970228,0.010796,0.008760,7218229660.00
19970331,-0.040356,-0.042235,6904015300.00
19970430,0.044753,0.043356,7200491420.00
19970530,0.063063,0.060937,7654883220.00
19970630,0.046866,0.045286,7999589630.00
19970731,0.070581,0.069062,8572497220.00
19970829,-0.043634,-0.045217,8206124080.00
19970930,0.057804,0.056179,8688342980.00
19971031,-0.030147,-0.031389,8427628020.00
19971128,0.036419,0.034657,8735753080.00
19971231,0.025381,0.023655,8961562440.00
19980130,-0.000891,-0.001884,8947283790.00
19980227,0.068701,0.066950,9547348210.00
19980331,0.054247,0.052802,10089669700.00
19980430,0.009546,0.008393,10175216200.00
19980529,-0.019147,-0.020665,10004362500.00
19980630,0.025170,0.023775,10289756500.00
19980731,-0.025612,-0.026748,10043091000.00
19980831,-0.148333,-0.149868,8547826240.00
19980930,0.049793,0.048056,8958271810.00
19981030,0.081094,0.079908,9670771410.00
19981130,0.053161,0.051514,10203851300.00
19981231,0.048343,0.046812,10690402600.00
19990129,0.012879,0.011923,10771422000.00
